Transition,Protocol,Index,Data,Comment
PS,SoE,P-0-0062,10 00 10 00 58 02 50 00 64 00 01 00 14 00 19 00 00 00 00 00,Thermal motor model
PS,SoE,P-0-0051,0x002C (44),Number of pole pairs
PS,SoE,S-0-0111,0x00003548 (13640),Motor continuous stall current
PS,SoE,S-0-0196,0x00003700 (14080),Motor rated current
PS,SoE,S-0-0109,0x00012430 (74800),Motor peak current
PS,SoE,P-0-0077,0x0FA0 (4000),Motor rated voltage
PS,SoE,P-0-0067,0x22C4 (8900),Motor winding: Dielectric strength
PS,SoE,P-0-0073,0x00027DE4 (163300),Motor peak torque
PS,SoE,P-0-0055,0x608A (24714),Motor EMF
PS,SoE,P-0-0066,08 00 08 00 6E 00 00 00 8E 03 00 00,Electric motor model
PS,SoE,S-0-0113,0x0000008C (140),Maximum motor speed
PS,SoE,S-0-0091,0x0024516F (2380143),Bipolar velocity limit value
PS,SoE,P-0-0071,08 00 08 00 D8 1D 0A 00 00 5A 62 02,Mechanical motor data
PS,SoE,S-0-0201,0x0320 (800),Motor warning temperature
PS,SoE,S-0-0204,0x0514 (1300),Motor shut down temperature
PS,SoE,P-0-0451,0x0000 (0),Current controller settings 2
PS,SoE,P-0-0057,0x6D60 (28000),Electrical commutation offset
PS,SoE,P-0-0061,0x0003 (3),Motor temperature sensor type
PS,SoE,P-0-0002,0x003E (62),Current ctrl cycle time
PS,SoE,P-0-0054,10 00 22 00 41 58 35 31 32 35 2D 30 30 30 30 2D 23 23 23 23,Configured drive type
PS,SoE,P-0-0093,0x00003548 (13640),Configured channel current
PS,SoE,P-0-0092,0x00006A90 (27280),Configured channel peak current
PS,SoE,P-0-0070,0x00009B0C (39692),Motor continuous stall torque
PS,SoE,S-0-0106,0x0111 (273),Current loop proportional gain 1
PS,SoE,S-0-0107,0x0008 (8),Current control loop integral action time 1
PS,SoE,P-0-0511,0x00C8 (200),Velocity filter 1: Low pass time constant
PS,SoE,S-0-0100,0x017D7840 (25000000),Velocity loop proportional gain
PS,SoE,S-0-0101,0x01F4 (500),Velocity loop integral action time
PS,SoE,P-0-0165,3C 00 3C 00 01 00 01 00 64 00 00 00 F4 01 B8 0B 00 00 00 00 00 00 00 00 58 02 E8 03 58 02 E8 03 64 00 05 00 E1 00 F4 01 70 17 84 03 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00,Commutation offset calibration parameter
PS,SoE,S-0-0104,0x0006 (6),Position loop Kv-factor
PS,SoE,P-0-0514,0C 00 0C 00 01 00 00 00 C8 00 E8 03 BC 02 00 00,Velocity observer
PS,SoE,S-0-0296,0x2710 (10000),Velocity feed forward gain
PS,SoE,S-0-0348,0x0000 (0),Acceleration feed forward gain
PS,SoE,P-0-0251,08 00 08 00 00 00 08 00 01 00 00 00,Probe 1 logic configuration
PS,SoE,S-0-0169,0x0121 (289),Probe control parameter
PS,SoE,P-0-0401,0x00110111 (1114385),Position limit switch configuration
PS,SoE,P-0-0214,0x0003 (3),DC link connection mode
PS,SoE,P-0-0250,0x0000 (0),Probe 1 value source
PS,SoE,P-0-0513,40 00 40 00 01 00 00 00 01 00 00 00 19 00 00 00 00 00 00 00 0A 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 1E 00 00 00 03 10 A0 00 00 00 00 00 00 00 00 00 FD EF 5F 3F 00 00 00 00 00 00 00 00 00 00 00 00,Current command value filter 0
PS,SoE,P-0-0167,14 00 14 00 00 00 F4 01 5A 00 1E 00 00 00 00 00 00 00 00 00 00 00 00 00,Motor and feedback connection check parameter
PS,SoE,P-0-0557,0x0000 (0),Acceleration feed forward filter time constant
PS,SoE,P-0-0512,0x055D4A80 (90000000),Velocity filter 1: Gain at infinite frequency
